StateName	ConstituencyName	LeadingCandidate	LeadingParty	TrailingCandidate	TrailingParty	Margin	LeadingParty2014
Andaman & Nicobar Islands	Andaman & Nicobar Islands	Kuldeep Rai Sharma	Indian National Congress	Vishal Jolly	Bharatiya Janata Party	1407	Bharatiya Janata Party
Andhra Pradesh	Amalapuram	Chinta Anuradha	Yuvajana Sramika Rythu Congress Party	Ganti Harish Madhur (balayogi)	Telugu Desam	39966	Telugu Desam
Andhra Pradesh	Anakapalli	Dr.beesetti Venkata Satyavathi	Yuvajana Sramika Rythu Congress Party	Adari Anand Kumar	Telugu Desam	89192	Telugu Desam
Andhra Pradesh	Anantapur	Talari Rangaiah	Yuvajana Sramika Rythu Congress Party	J.c. Pavan Reddy	Telugu Desam	141428	Telugu Desam
Andhra Pradesh	Aruku	Goddeti. Madhavi	Yuvajana Sramika Rythu Congress Party	Kishore Chandra Deo	Telugu Desam	224089	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Bapatla	Nandigam Suresh	Yuvajana Sramika Rythu Congress Party	Malyadri Sriram	Telugu Desam	16065	Telugu Desam
Andhra Pradesh	Chittoor	N. Reddeppa	Yuvajana Sramika Rythu Congress Party	Naramalli Siva Prasad	Telugu Desam	137271	Telugu Desam
Andhra Pradesh	Eluru	Kotagiri Sridhar	Yuvajana Sramika Rythu Congress Party	Magantti Venkateswara Rao Babu	Telugu Desam	165925	Telugu Desam
Andhra Pradesh	Guntur	Jayadev Galla	Telugu Desam	Modugula Venugopala Reddy	Yuvajana Sramika Rythu Congress Party	4205	Telugu Desam
Andhra Pradesh	Hindupur	Kuruva Gorantla Madhav	Yuvajana Sramika Rythu Congress Party	Kristappa . Nimmala	Telugu Desam	140748	Telugu Desam
Andhra Pradesh	Kadapa	Y.s.avinash Reddy	Yuvajana Sramika Rythu Congress Party	Chadipirala Adi Narayana Reddy	Telugu Desam	380976	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Kakinada	Vanga Geethaviswanath	Yuvajana Sramika Rythu Congress Party	Chalamalasetty Sunil	Telugu Desam	25738	Telugu Desam
Andhra Pradesh	Kurnool	Ayushman Doctor Sanjeev Kumar	Yuvajana Sramika Rythu Congress Party	Kotla Jaya Surya Prakash Reddy	Telugu Desam	148889	Yuvajana Sramika Rythu Congress Party
